    PID TTY      STAT   TIME COMMAND
      1 ?        Ss     0:02 /sbin/init splash
      2 ?        S      0:00 [kthreadd]
      3 ?        S      0:00 [pool_workqueue_release]
      4 ?        I<     0:00 [kworker/R-rcu_gp]
      5 ?        I<     0:00 [kworker/R-sync_wq]
      6 ?        I<     0:00 [kworker/R-kvfree_rcu_reclaim]
      7 ?        I<     0:00 [kworker/R-slub_flushwq]
      8 ?        I<     0:00 [kworker/R-netns]
     10 ?        I<     0:00 [kworker/0:0H-events_highpri]
     11 ?        I      0:01 [kworker/0:1-events]
     12 ?        I      0:03 [kworker/u32:0-flush-259:0]
     13 ?        I<     0:00 [kworker/R-mm_percpu_wq]
     14 ?        I      0:00 [rcu_tasks_kthread]
     15 ?        I      0:00 [rcu_tasks_rude_kthread]
     16 ?        I      0:00 [rcu_tasks_trace_kthread]
     17 ?        S      0:00 [ksoftirqd/0]
     18 ?        I      0:02 [rcu_preempt]
     19 ?        S      0:00 [rcu_exp_par_gp_kthread_worker/0]
     20 ?        S      0:00 [rcu_exp_gp_kthread_worker]
     21 ?        S      0:00 [migration/0]
     22 ?        S      0:00 [idle_inject/0]
     23 ?        S      0:00 [cpuhp/0]
     24 ?        S      0:00 [cpuhp/1]
     25 ?        S      0:00 [idle_inject/1]
     26 ?        S      0:00 [migration/1]
     27 ?        S      0:00 [ksoftirqd/1]
     29 ?        I<     0:00 [kworker/1:0H-events_highpri]
     30 ?        S      0:00 [cpuhp/2]
     31 ?        S      0:00 [idle_inject/2]
     32 ?        S      0:00 [migration/2]
     33 ?        S      0:00 [ksoftirqd/2]
     35 ?        I<     0:00 [kworker/2:0H-events_highpri]
     36 ?        S      0:00 [cpuhp/3]
     37 ?        S      0:00 [idle_inject/3]
     38 ?        S      0:00 [migration/3]
     39 ?        S      0:00 [ksoftirqd/3]
     40 ?        I      0:00 [kworker/3:0-events]
     41 ?        I<     0:00 [kworker/3:0H-kblockd]
     42 ?        S      0:00 [cpuhp/4]
     43 ?        S      0:00 [idle_inject/4]
     44 ?        S      0:00 [migration/4]
     45 ?        S      0:00 [ksoftirqd/4]
     47 ?        I<     0:00 [kworker/4:0H-events_highpri]
     48 ?        S      0:00 [cpuhp/5]
     49 ?        S      0:00 [idle_inject/5]
     50 ?        S      0:00 [migration/5]
     51 ?        S      0:00 [ksoftirqd/5]
     53 ?        I<     0:00 [kworker/5:0H-kblockd]
     54 ?        S      0:00 [cpuhp/6]
     55 ?        S      0:00 [idle_inject/6]
     56 ?        S      0:00 [migration/6]
     57 ?        S      0:01 [ksoftirqd/6]
     59 ?        I<     0:00 [kworker/6:0H-events_highpri]
     60 ?        S      0:00 [cpuhp/7]
     61 ?        S      0:00 [idle_inject/7]
     62 ?        S      0:00 [migration/7]
     63 ?        S      0:00 [ksoftirqd/7]
     65 ?        I<     0:00 [kworker/7:0H-events_highpri]
     66 ?        S      0:00 [kdevtmpfs]
     67 ?        I<     0:00 [kworker/R-inet_frag_wq]
     68 ?        S      0:00 [kauditd]
     69 ?        S      0:00 [khungtaskd]
     70 ?        S      0:00 [oom_reaper]
     73 ?        I<     0:00 [kworker/R-writeback]
     74 ?        S      0:00 [kcompactd0]
     75 ?        SN     0:00 [ksmd]
     76 ?        SN     0:00 [khugepaged]
     77 ?        I<     0:00 [kworker/R-kintegrityd]
     78 ?        I<     0:00 [kworker/R-kblockd]
     79 ?        I<     0:00 [kworker/R-blkcg_punt_bio]
     80 ?        S      0:00 [irq/9-acpi]
     82 ?        I      0:00 [kworker/4:1-mm_percpu_wq]
     83 ?        I<     0:00 [kworker/R-tpm_dev_wq]
     84 ?        I<     0:00 [kworker/R-ata_sff]
     85 ?        I<     0:00 [kworker/R-md]
     86 ?        I<     0:00 [kworker/R-md_bitmap]
     87 ?        I<     0:00 [kworker/R-edac-poller]
     88 ?        I<     0:00 [kworker/R-devfreq_wq]
     89 ?        S      0:00 [watchdogd]
     91 ?        I<     0:00 [kworker/0:1H-i915_cleanup]
     94 ?        S      0:00 [kswapd0]
     95 ?        S      0:00 [ecryptfs-kthread]
     96 ?        I<     0:00 [kworker/R-kthrotld]
     97 ?        S      0:00 [irq/121-aerdrv]
     98 ?        S      0:00 [irq/121-pcie-dpc]
     99 ?        S      0:00 [irq/122-aerdrv]
    100 ?        S      0:00 [irq/122-pcie-dpc]
    101 ?        S      0:00 [irq/123-aerdrv]
    102 ?        S      0:00 [irq/123-pcie-dpc]
    103 ?        S      0:00 [irq/124-aerdrv]
    104 ?        S      0:00 [irq/124-pcie-dpc]
    105 ?        I<     0:00 [kworker/R-acpi_thermal_pm]
    106 ?        S      0:00 [hwrng]
    107 ?        I<     0:00 [kworker/R-mld]
    108 ?        I<     0:00 [kworker/R-ipv6_addrconf]
