    PID TTY          TIME CMD
      1 ?        00:00:02 systemd
      2 ?        00:00:00 kthreadd
      3 ?        00:00:00 pool_workqueue_release
      4 ?        00:00:00 kworker/R-rcu_gp
      5 ?        00:00:00 kworker/R-sync_wq
      6 ?        00:00:00 kworker/R-kvfree_rcu_reclaim
      7 ?        00:00:00 kworker/R-slub_flushwq
      8 ?        00:00:00 kworker/R-netns
     10 ?        00:00:00 kworker/0:0H-events_highpri
     11 ?        00:00:01 kworker/0:1-events
     12 ?        00:00:03 kworker/u32:0-flush-259:0
     13 ?        00:00:00 kworker/R-mm_percpu_wq
     14 ?        00:00:00 rcu_tasks_kthread
     15 ?        00:00:00 rcu_tasks_rude_kthread
     16 ?        00:00:00 rcu_tasks_trace_kthread
     17 ?        00:00:00 ksoftirqd/0
     18 ?        00:00:02 rcu_preempt
     19 ?        00:00:00 rcu_exp_par_gp_kthread_worker/0
     20 ?        00:00:00 rcu_exp_gp_kthread_worker
     21 ?        00:00:00 migration/0
     22 ?        00:00:00 idle_inject/0
     23 ?        00:00:00 cpuhp/0
     24 ?        00:00:00 cpuhp/1
     25 ?        00:00:00 idle_inject/1
     26 ?        00:00:00 migration/1
     27 ?        00:00:00 ksoftirqd/1
     29 ?        00:00:00 kworker/1:0H-events_highpri
     30 ?        00:00:00 cpuhp/2
     31 ?        00:00:00 idle_inject/2
     32 ?        00:00:00 migration/2
     33 ?        00:00:00 ksoftirqd/2
     35 ?        00:00:00 kworker/2:0H-events_highpri
     36 ?        00:00:00 cpuhp/3
     37 ?        00:00:00 idle_inject/3
     38 ?        00:00:00 migration/3
     39 ?        00:00:00 ksoftirqd/3
     40 ?        00:00:00 kworker/3:0-i915-unordered
     41 ?        00:00:00 kworker/3:0H-kblockd
     42 ?        00:00:00 cpuhp/4
     43 ?        00:00:00 idle_inject/4
     44 ?        00:00:00 migration/4
     45 ?        00:00:00 ksoftirqd/4
     47 ?        00:00:00 kworker/4:0H-events_highpri
     48 ?        00:00:00 cpuhp/5
     49 ?        00:00:00 idle_inject/5
     50 ?        00:00:00 migration/5
     51 ?        00:00:00 ksoftirqd/5
     53 ?        00:00:00 kworker/5:0H-kblockd
     54 ?        00:00:00 cpuhp/6
     55 ?        00:00:00 idle_inject/6
     56 ?        00:00:00 migration/6
     57 ?        00:00:01 ksoftirqd/6
     59 ?        00:00:00 kworker/6:0H-events_highpri
     60 ?        00:00:00 cpuhp/7
     61 ?        00:00:00 idle_inject/7
     62 ?        00:00:00 migration/7
     63 ?        00:00:00 ksoftirqd/7
     65 ?        00:00:00 kworker/7:0H-events_highpri
     66 ?        00:00:00 kdevtmpfs
     67 ?        00:00:00 kworker/R-inet_frag_wq
     68 ?        00:00:00 kauditd
     69 ?        00:00:00 khungtaskd
     70 ?        00:00:00 oom_reaper
     73 ?        00:00:00 kworker/R-writeback
     74 ?        00:00:00 kcompactd0
     75 ?        00:00:00 ksmd
     76 ?        00:00:00 khugepaged
     77 ?        00:00:00 kworker/R-kintegrityd
     78 ?        00:00:00 kworker/R-kblockd
     79 ?        00:00:00 kworker/R-blkcg_punt_bio
     80 ?        00:00:00 irq/9-acpi
     82 ?        00:00:00 kworker/4:1-events
     83 ?        00:00:00 kworker/R-tpm_dev_wq
     84 ?        00:00:00 kworker/R-ata_sff
     85 ?        00:00:00 kworker/R-md
     86 ?        00:00:00 kworker/R-md_bitmap
     87 ?        00:00:00 kworker/R-edac-poller
     88 ?        00:00:00 kworker/R-devfreq_wq
     89 ?        00:00:00 watchdogd
     91 ?        00:00:00 kworker/0:1H-i915_cleanup
     94 ?        00:00:00 kswapd0
     95 ?        00:00:00 ecryptfs-kthread
     96 ?        00:00:00 kworker/R-kthrotld
     97 ?        00:00:00 irq/121-aerdrv
     98 ?        00:00:00 irq/121-pcie-dpc
     99 ?        00:00:00 irq/122-aerdrv
    100 ?        00:00:00 irq/122-pcie-dpc
    101 ?        00:00:00 irq/123-aerdrv
    102 ?        00:00:00 irq/123-pcie-dpc
    103 ?        00:00:00 irq/124-aerdrv
    104 ?        00:00:00 irq/124-pcie-dpc
    105 ?        00:00:00 kworker/R-acpi_thermal_pm
    106 ?        00:00:00 hwrng
    107 ?        00:00:00 kworker/R-mld
    108 ?        00:00:00 kworker/R-ipv6_addrconf
    116 ?        00:00:00 kworker/R-kstrp
    117 ?        00:00:00 kworker/2:1-mm_percpu_wq
    118 ?        00:00:00 kworker/5:1-mm_percpu_wq
    133 ?        00:00:00 kworker/R-charger_manager
    135 ?        00:00:00 kworker/1:1H-kblockd
    161 ?        00:00:00 kworker/6:1H-i915_cleanup
    178 ?        00:00:00 kworker/4:1H-kblockd
    183 ?        00:00:00 kworker/7:1H-kblockd
    198 ?        00:00:00 kworker/3:1H
    199 ?        00:00:00 kworker/5:1H
    200 ?        00:00:00 kworker/2:1H-kblockd
